country,association_name,official_name,association_code,member_id,overall_rank,overall_country_coefficient,season_rank,season_country_coefficient,uefa_season_year,overall_source_url,season_source_url,scraped_at_utc
Slovenia,Slovenia,Slovenia,SVN,57163,28,11.832,28,1.5,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Cyprus,Cyprus,Cyprus,CYP,33,29,9.332,30,1.333,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Finland,Finland,Finland,FIN,42,30,8.041,29,1.375,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Latvia,Latvia,Latvia,LVA,56558,31,7.165,40,0.666,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Georgia,Georgia,Georgia,GEO,57157,32,6.999,31,1.333,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Moldova,Moldova,Moldova,MDA,57160,33,5.165,33,1.166,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Iceland,Iceland,Iceland,ISL,58,34,4.832,35,0.833,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Belarus,Belarus,Belarus,BLR,57155,35,4.083,36,0.75,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Lithuania,Lithuania,Lithuania,LTU,56557,36,3.831,44,0.333,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Republic of Ireland,Republic of Ireland,Republic of Ireland,IRL,64,37,3.331,37,0.666,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
North Macedonia,North Macedonia,North Macedonia,MKD,59205,38,2.997,38,0.666,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Malta,Malta,Malta,MLT,88,39,2.498,32,1.166,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Wales,Wales,Wales,WAL,144,40,1.832,34,1.0,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Estonia,Estonia,Estonia,EST,56556,41,1.665,41,0.5,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,60094,42,1.333,47,0.333,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Armenia,Armenia,Armenia,ARM,57419,43,1.332,49,0.0,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Northern Ireland,Northern Ireland,Northern Ireland,NIR,63,44,1.331,45,0.333,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Albania,Albania,Albania,ALB,2,45,1.165,39,0.666,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Faroe Islands,Faroe Islands,Faroe Islands,FRO,51218,46,1.165,43,0.5,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Azerbaijan,Azerbaijan,Azerbaijan,AZE,57154,47,1.165,48,0.166,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Liechtenstein,Liechtenstein,Liechtenstein,LIE,81,48,1.0,42,0.5,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Luxembourg,Luxembourg,Luxembourg,LUX,82,49,0.832,46,0.333,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Andorra,Andorra,Andorra,AND,60618,50,0.0,50,0.0,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
San Marino,San Marino,San Marino,SMR,50168,51,0.0,51,0.0,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Spain,Spain,Spain,ESP,122,1,75.539,2,15.5,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Italy,Italy,Italy,ITA,66,2,62.311,1,15.928,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
England,England,England,ENG,39,3,58.34,4,10.666,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Germany,Germany,Germany,GER,47,4,51.132,5,9.142,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
France,France,France,FRA,43,5,43.468,6,7.916,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Greece,Greece,Greece,GRE,49,6,36.782,8,7.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Portugal,Portugal,Portugal,POR,110,7,35.583,3,10.75,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Netherlands,Netherlands,Netherlands,NED,95,8,33.498,12,6.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Scotland,Scotland,Scotland,SCO,117,9,30.375,7,7.375,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Türkiye,Türki̇ye,Türki̇ye,TUR,135,10,28.991,16,4.666,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Belgium,Belgium,Belgium,BEL,13,11,28.5,9,6.875,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Czechia,Czechia,Czechia,CZE,58837,12,27.95,11,6.2,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Switzerland,Switzerland,Switzerland,SUI,128,13,26.25,13,5.875,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Ukraine,Ukraine,Ukraine,UKR,57166,14,24.583,17,4.25,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Israel,Israel,Israel,ISR,65,15,23.999,14,5.833,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Austria,Austria,Austria,AUT,8,16,23.375,19,4.0,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Poland,Poland,Poland,POL,109,17,21.625,10,6.625,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Russia,Russia,Russia,RUS,57451,18,21.041,20,3.625,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Serbia,Serbia,Serbia,SRB,147,19,19.831,15,4.833,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Norway,Norway,Norway,NOR,101,20,19.575,26,2.7,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Bulgaria,Bulgaria,Bulgaria,BUL,20,21,18.665,18,4.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Croatia,Croatia,Croatia,CRO,56370,22,18.625,25,2.75,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Sweden,Sweden,Sweden,SWE,127,23,17.591,27,2.25,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Denmark,Denmark,Denmark,DEN,35,24,17.375,21,3.25,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Slovakia,Slovakia,Slovakia,SVK,58836,25,13.665,38,0.666,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Romania,Romania,Romania,ROU,113,26,12.957,28,2.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Hungary,Hungary,Hungary,HUN,57,27,12.79,23,3.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Cyprus,Cyprus,Cyprus,CYP,33,28,10.165,22,3.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Slovenia,Slovenia,Slovenia,SVN,57163,29,9.332,40,0.666,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Finland,Finland,Finland,FIN,42,30,7.208,43,0.333,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Latvia,Latvia,Latvia,LVA,56558,31,6.665,30,1.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Moldova,Moldova,Moldova,MDA,57160,32,5.832,35,1.0,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Georgia,Georgia,Georgia,GEO,57157,33,5.666,29,1.333,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,60094,34,4.333,24,3.0,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Lithuania,Lithuania,Lithuania,LTU,56557,35,3.998,37,0.833,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Iceland,Iceland,Iceland,ISL,58,36,3.498,47,0.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
North Macedonia,North Macedonia,North Macedonia,MKD,59205,37,3.497,32,1.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Belarus,Belarus,Belarus,BLR,57155,38,3.416,33,1.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Republic of Ireland,Republic of Ireland,Republic of Ireland,IRL,64,39,3.331,48,0.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Malta,Malta,Malta,MLT,88,40,2.998,36,0.833,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Armenia,Armenia,Armenia,ARM,57419,41,2.165,31,1.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Wales,Wales,Wales,WAL,144,42,2.165,44,0.333,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Liechtenstein,Liechtenstein,Liechtenstein,LIE,81,43,2.0,34,1.0,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Albania,Albania,Albania,ALB,2,44,1.831,39,0.666,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Estonia,Estonia,Estonia,EST,56556,45,1.665,49,0.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Northern Ireland,Northern Ireland,Northern Ireland,NIR,63,46,1.498,45,0.333,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Luxembourg,Luxembourg,Luxembourg,LUX,82,47,1.332,42,0.5,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Faroe Islands,Faroe Islands,Faroe Islands,FRO,51218,48,1.165,46,0.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Azerbaijan,Azerbaijan,Azerbaijan,AZE,57154,49,1.165,48,0.166,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Kazakhstan,Kazakhstan,Kazakhstan,KAZ,65146,50,0.5,41,0.5,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Andorra,Andorra,Andorra,AND,60618,51,0.0,50,0.0,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
San Marino,San Marino,San Marino,SMR,50168,52,0.0,51,0.0,2003,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2003,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2003,2026-02-13T21:37:57.705796+00:00
Spain,Spain,Spain,ESP,122,1,79.851,1,14.312,2004,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2004,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2004,2026-02-13T21:37:57.705796+00:00
England,England,England,ENG,39,2,62.153,3,11.25,2004,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2004,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2004,2026-02-13T21:37:57.705796+00:00
Italy,Italy,Italy,ITA,66,3,59.186,5,8.875,2004,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2004,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2004,2026-02-13T21:37:57.705796+00:00
Germany,Germany,Germany,GER,47,4,49.489,15,4.714,2004,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2004,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2004,2026-02-13T21:37:57.705796+00:00
France,France,France,FRA,43,5,48.326,2,13.5,2004,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2004,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2004,2026-02-13T21:37:57.705796+00:00
Portugal,Portugal,Portugal,POR,110,6,42.333,4,10.25,2004,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2004,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2004,2026-02-13T21:37:57.705796+00:00
Greece,Greece,Greece,GRE,49,7,34.748,19,4.166,2004,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2004,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2004,2026-02-13T21:37:57.705796+00:00
Netherlands,Netherlands,Netherlands,NED,95,8,34.081,12,5.416,2004,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2004,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2004,2026-02-13T21:37:57.705796+00:00
Czechia,Czechia,Czechia,CZE,58837,9,33.075,6,7.375,2004,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2004,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2004,2026-02-13T21:37:57.705796+00:00
